,id,name,type,ra,dec,const,majax,minax,pa,bmag,vmag,jmag,hmag,kmag,sbrightn,hubble,parallax,pmra,pmdec,radvel,redshift,cstarumag,cstarbmag,cstarvmag,messier,ngc,ic,cstarnames,identifiers,commonnames,nednotes,ongcnotes,notngc,KStars_Type,ra_degrees,dec_degrees
10985,10986,NGC5055,G,3.4724292671721,0.7335492794575079,CVn,11.83,7.16,103.0,9.32,8.61,6.57,5.83,5.61,23.04,Sbc,,,,503.0,0.001678,,,,063,,,,"2MASX J13154932+4201454,IRAS 13135+4217,MCG +07-27-054,PGC 046153,SDSS J131549.26+420145.8,UGC 08334",Sunflower Galaxy,,,False,8,198.95554166666668,42.02927777777778
11137,11138,NGC5194,G,3.5337615915282243,0.8237110493608104,CVn,13.71,11.67,163.0,8.61,8.36,6.4,5.65,5.5,22.9,SABb,7.8,,,465.0,0.00155,,,,051,,,,"2MASX J13295269+4711429,IRAS 13277+4727,MCG +08-25-012,PGC 047404,UGC 08493",Whirlpool Galaxy,,,False,8,202.469625,47.195166666666665
11183,11184,NGC5236,G,3.5649040831479764,-0.5212498533133232,Hya,13.61,13.21,45.0,7.82,7.21,5.54,4.87,4.62,22.2,Sc,,,,519.0,0.001733,,,,083,,,,"2MASX J13370091-2951567,ESO 444-081,ESO-LV 444-0810,IRAS 13341-2936,MCG -05-32-050,PGC 048082,UGCA 366",Southern Pinwheel Galaxy,Extended HIPASS source,,False,8,204.25395833333334,-29.86541666666667
11224,11225,NGC5272,GCl,3.5874682814941763,0.4952449322722888,CVn,16.2,,,,6.39,,,,,,0.0245,-0.14,-2.64,-147.0,-0.000491,,,,003,,,,MWSC 2152,,,,False,14,205.54679166666668,28.375444444444447
11415,11416,NGC5457,G,3.679193333112216,0.9485680255390361,UMa,23.99,23.07,28.0,8.36,7.9,6.52,5.81,5.51,23.97,SABc,,,,243.0,0.000811,,,,101,,,,"IRAS 14013+5435,MCG +09-23-028,PGC 050063,SDSS J140312.52+542056.2,UGC 08981",,"M102 may be a duplicate obs. of M101; see Sawyer, JRASC 41, Nos 7&8, 1947.",,False,8,210.80225,54.348944444444456
11886,11887,NGC5904,GCl,4.007985002587604,0.03634987536854969,Se1,15.0,,,7.34,5.95,,,,,,0.1139,4.06,-9.89,54.0,0.000179,,,,005,,,,MWSC 2286,,,,False,14,229.64062500000003,2.082694444444445
12103,12104,NGC6093,GCl,4.2631492303470875,-0.4009913349004216,Sco,5.7,,,,7.3,,,,,,0.0501,-2.93,-5.59,11.0,3.6e-05,,,,080,,,,MWSC 2376,,,,False,14,244.26045833333333,-22.975111111111108
12131,12132,NGC6121,GCl,4.291720997422757,-0.462957795551437,Sco,28.2,,,,5.4,,,,,,0.4995,-12.48,-18.99,71.0,0.000237,,,,004,,,,MWSC 2396,,,,False,14,245.8975,-26.52552777777778
12183,12184,NGC6171,GCl,4.3307378328510895,-0.22782897797748536,Oph,7.8,,,9.96,8.85,,,,,,0.1491,-1.93,-5.98,-35.0,-0.000116,,,,107,,,,MWSC 2422,,,,False,14,248.133,-13.053638888888889
12221,12222,NGC6205,GCl,4.3707138721474985,0.6363698315201448,Her,16.5,,,,5.8,4.45,3.94,3.85,,,0.0813,-3.18,-2.56,-244.0,-0.000815,,,,013,,,,"2MASX J16414163+3627407,MWSC 2445",Hercules Globular Cluster,,,False,14,250.42345833333337,36.46130555555556
12235,12236,NGC6218,GCl,4.394922316093181,-0.03399610494676288,Oph,11.1,,,8.52,6.07,,,,,,0.1584,-0.15,-6.77,-41.0,-0.000138,,,,012,,,,MWSC 2464,,,,False,14,251.81050000000002,-1.9478333333333333
12274,12275,NGC6254,GCl,4.438153394444559,-0.07154686380342087,Oph,9.3,,,,4.98,,,,,,0.1507,-4.72,-6.54,74.0,0.000247,,,,010,,,,MWSC 2498,,,,False,14,254.28745833333332,-4.099333333333333
12286,12287,NGC6266,GCl,4.455869213572823,-0.525559846938387,Oph,7.8,,,8.55,7.39,,,,,,0.1451,-4.99,-2.95,-73.0,-0.000245,,,,062,,,,MWSC 2512,,,,False,14,255.3025,-30.112361111111113
12293,12294,NGC6273,GCl,4.462056405771143,-0.45846211828650824,Oph,7.5,,,8.45,5.57,,,,,,0.0935,-3.23,1.66,146.0,0.000486,,,,019,,,,MWSC 2519,,,,False,14,255.657,-26.267944444444442
