,id,name,BRNtype,ra,dec,const,majax,minax,pa,bmag,vmag,jmag,hmag,kmag,sbrightn,hubble,parallax,pmra,pmdec,radvel,redshift,cstarumag,cstarbmag,cstarvmag,messier,ngc,ic,cstarnames,identifiers,commonnames,nednotes,ongcnotes,notngc,Id,CAT,CAT_ID,H_id,Name_type
292,11196,NGC5248,G,3.5671635573087874,0.15507541292178284,Boo,4.07,2.38,120.0,10.88,9.97,8.18,7.46,7.25,22.25,SABb,,,,1150.0,0.003843,,,,,,,,"2MASX J13373206+0853062,C 045,IRAS 13350+0908,MCG +02-35-015,PGC 048130,SDSS J133732.02+085306.6,UGC 08616",,,,False,293,NGC,5248,H293,galaxy
293,11226,NGC5273,G,3.5872581147634155,0.6222835700155072,CVn,2.31,1.52,6.0,12.53,12.16,9.5,8.84,8.67,23.07,S0,,,,1024.0,0.00342,,,,,,0895,,"2MASS J13420837+3539154,2MASX J13420838+3539152,MCG +06-30-072,PGC 048521,SDSS J134208.38+353915.4,SDSS J134208.39+353915.5,UGC 08675",,,,False,294,NGC,5273,H294,galaxy
294,11275,NGC5322,G,3.6183053404948295,1.050522888235328,UMa,5.62,3.49,95.0,11.05,10.14,11.08,10.41,9.92,23.64,E,,,,1817.0,0.006081,,,,,,,,"2MASX J13491520+6011254,MCG +10-20-035,PGC 049044,UGC 08745",,,,False,295,NGC,5322,H295,galaxy
295,11318,NGC5363,G,3.648262462664269,0.09171317368285314,Vir,4.17,2.75,133.0,11.1,10.21,7.83,7.16,6.93,22.82,S0-a,,,,1129.0,0.003773,,,,,,,,"2MASX J13560724+0515169,IRAS 13536+0529,MCG +01-36-002,PGC 049547,UGC 08847",,,,False,296,NGC,5363,H296,galaxy
296,11319,NGC5364,G,3.6486108012941463,0.08751905052757455,Vir,3.8,1.66,45.0,11.19,10.52,8.67,8.08,7.8,22.19,Sbc,,,,1239.0,0.004143,,,,,5317,,,"2MASX J13561200+0500520,IRAS 13536+0515,MCG +01-36-003,PGC 049555,UGC 08853",,NGC 5348 may also contribute to the HIPASS detection.,,False,297,NGC,5364,H297,galaxy
297,11425,NGC5466,GCl,3.6889977201852946,0.498020975410322,Boo,6.6,,,10.5,9.7,,,,,,0.0231,-5.41,-0.79,107.0,0.000357,,,,,,,,MWSC 2198,,,,False,298,NGC,5466,H298,cluster
298,11432,NGC5473,G,3.68578849602319,0.9580572837193929,UMa,1.99,1.54,156.0,12.37,11.47,9.3,8.64,8.36,22.6,E-S0,,,,1960.0,0.006558,,,,,,,,"2MASX J14044324+5453334,MCG +09-23-031,PGC 050191,SDSS J140443.22+545333.4,UGC 09011",,,,False,299,NGC,5473,H299,galaxy
299,11433,NGC5474,G,3.6871251273420094,0.936582461714646,UMa,2.39,1.57,100.0,11.48,11.01,10.23,9.56,9.48,21.75,Sc,,,,294.0,0.00098,,,,,,,,"2MASX J14050160+5339439,IRAS 14032+5353,MCG +09-23-032,PGC 050216,SDSS J140501.41+533944.4,UGC 09013",,Highly asymmetrical.,,False,300,NGC,5474,H300,galaxy
300,11521,NGC5557,G,3.7456016567095576,0.6369327002039129,Boo,2.28,1.12,97.0,11.93,11.02,9.03,8.34,8.08,22.54,E,,,,3210.0,0.010764,,,,,,,,"2MASX J14182570+3629372,MCG +06-31-093,PGC 051104,SDSS J141825.72+362936.8,UGC 09161",,,,False,301,NGC,5557,H301,galaxy
301,11530,NGC5566,G,3.7539043334053988,0.06865688945032694,Vir,5.36,2.08,35.0,11.42,10.51,8.35,7.64,7.39,23.3,SBab,,,,1540.0,0.00515,,,,,,,,"2MASX J14201994+0356009,IRAS 14178+0409,MCG +01-37-002,PGC 051233,SDSS J142019.88+035601.4,UGC 09175",,,,False,302,NGC,5566,H302,galaxy
302,11540,NGC5576,G,3.757088832069767,0.05708971983273452,Vir,2.83,1.87,91.0,11.79,10.9,8.74,7.97,7.83,22.9,E,,,,1510.0,0.00505,,,,,,,,"2MASX J14210369+0316157,MCG +01-37-007,PGC 051275,UGC 09183",,,,False,303,NGC,5576,H303,galaxy
303,11600,NGC5631,G,3.7810594749048656,0.9875533480780971,UMa,1.95,1.95,140.0,12.48,11.56,9.39,8.67,8.47,22.69,S0,,,,1974.0,0.006608,,,,,,,,"2MASX J14263328+5634575,MCG +10-21-002,PGC 051564,SDSS J142633.29+563457.4,UGC 09261",,,,False,304,NGC,5631,H304,galaxy
304,11603,NGC5634,GCl,3.794438878062446,-0.10430814830439779,Vir,4.5,,,10.69,10.05,,,,,,,-1.67,-1.55,-16.0,-5.4e-05,,,,,,,,MWSC 2222,,,,False,305,NGC,5634,H305,cluster
305,11646,NGC5676,G,3.808224797491636,0.863203002196631,Boo,3.59,1.61,46.0,11.87,11.22,8.97,8.2,7.91,22.74,Sc,,,,2100.0,0.00703,,,,,,,,"2MASX J14324685+4927281,IRAS 14310+4940,MCG +08-26-043,PGC 051978,SDSS J143246.84+492728.4,SDSS J143246.85+492728.4,UGC 09366",,,,False,306,NGC,5676,H306,galaxy
306,11662,NGC5689,G,3.820066856466417,0.8507020814292218,Boo,3.66,0.91,86.0,12.74,11.8,9.38,8.68,8.4,23.88,S0-a,,,,2156.0,0.007218,,,,,,,,"2MASX J14352967+4844293,IRAS 14337+4857,MCG +08-27-004,PGC 052154,UGC 09399",,,,False,307,NGC,5689,H307,galaxy
307,11667,NGC5694,GCl,3.8380161133821358,-0.4631812946584285,Hya,3.3,,,11.58,10.89,,,,,,0.0608,-0.43,-1.09,-140.0,-0.000465,,,,,,,,"C 066,MWSC 2238",,,,False,308,NGC,5694,H308,cluster
308,11719,NGC5746,G,3.861244264064615,0.03412118687648914,Vir,7.24,1.08,172.0,11.34,10.55,7.95,7.17,6.88,23.19,Sb,,,,1719.0,0.00575,,,,,,,,"2MASX J14445600+0157170,IRAS 14424+0209,MCG +00-38-005,PGC 052665,SDSS J144455.91+015717.8,SDSS J144455.91+015718.0,UGC 09499",,,,False,309,NGC,5746,H309,galaxy
309,11825,NGC5846,G,3.95530005745459,0.0280232003954934,Vir,4.27,4.05,35.0,11.1,10.18,7.88,7.2,6.94,23.12,E,,,,1710.0,0.00572,,,,,,,,"2MASX J15062925+0136202,MCG +00-38-025,PGC 053932,SDSS J150629.28+013620.2,UGC 09706",,Called 'NGC 5846a' in MCG.,,False,310,NGC,5846,H310,galaxy
310,11848,NGC5866,G,3.9553160563060663,0.973251829299047,Dra,6.31,2.72,126.0,10.74,9.89,7.83,7.13,6.87,23.4,S0-a,,,,757.0,0.002528,,,,,,,,"2MASX J15062956+5545479,IRAS 15051+5557,MCG +09-25-017,PGC 053933,UGC 09723",,This may be M102,,False,311,NGC,5866,H311,Spindle Galaxy
